Studio Name,Website,Neighborhood ,Address,Phone,General Email,Owner/ Director,Size,"Drop In Price $: <12, $$: 13-15, $$$: >16",Discount?,Child Care,Yoga Therapy,Gentle/ Relaxation/ Restorative,Intro,Strength Based,Heated,Acro,Prenatal,Youth or Family,Meditation,Notes
Core Power Yoga- Ballard,http://www.corepoweryoga.com/yoga-studio/washington/seattle-ballard,Ballard,"1455 NW Leary Way Seattle, WA 98107",206.706.9642,not listed,not listed,large,not listed,Introductory,no,no,no,yes,yes,yes,no,no,no,no,"words like sculpt, core, fusion, power"
Shakti Vinyasa Yoga- Seattle,http://www.shaktivinyasa.com/,Ballard,"2238 NW Market Street, Seattle WA",206-297-9642,seattle@shaktivinyasa.com,not listed,large,$$$,no,no,no,no,yes,yes,no,no,no,no,no,
Kula Movement,http://www.kulamovement.com/,Ballard,"5340 Ballard Ave NW Seattle, WA 98107",(206) 972-2999,info@kulamovement.com,not listed,large,$$,intro,no,yes,yes,yes,no,no,no,yes,yes,yes,Forrest Yoga
Soma Yoga,http://www.soma-yoga.com/,Ballard,"1423 NW 70th Street, Seattle WA",(206) 782-5044  ,jean@soma-yoga.com   ,Jean Hindle,medium,$$,no,no,yes,yes,yes,no,no,no,no,no,yes,Feldenkrais Method with some dance and pilates offered
Yoga on Beacon,http://www.yogaonbeacon.com/Yoga_Schedule.html,Beacon Hill/ George Town/ Colombia City,"3013 Beacon Ave S. Suite A, Seattle WA 98144 ",206.324.YOGA (9642),peter@yogaonbeacon.com (manager),Dee Hein dee@yogaonbeacon.com,Medium,$$ ,Students and seniors,no,no,yes,yes,yes,no,no,no,no,yes,
Lotus Yoga,http://www.lotusyoga.biz/,Beacon Hill/ George Town/ Colombia City,"4860 Rainier Ave. South {Upstairs}, Seattle 98118",(206) 760-1917,info@lotusyoga.biz,,Medium,$$$,Introductory,no,no,yes,yes,no,no,no,yes,yes,yes,
YogaSmith,http://www.yogasmithseattle.com/,Beacon Hill/ George Town/ Colombia City,5917 Airport Way S,not listed,joelb@yogasmithseattle.com, Joel Benjamin joelb@yogasmithseattle.com,Small,not listed,Not listed,no,no,no,yes,yes,no,no,no,no,yes,
Seattle Bouldering Project,http://www.seattleboulderingproject.com/,Beacon Hill/ George Town/ Colombia City,900 Poplar Pl S,206.299.2300,Jay Wyatt (yoga fitness manager) jay@seattleboulderingproject.com,Andy Wyatt andy@seattleboulderingproject.com Chris Potts chris@seattleboulderingproject.com,big,$$,Students and seniors,no,no,yes,no,yes,no,no,no,no,no,rock climbing gym and yoga studio
Center Studio,http://whitecenterstudio.com/,Beacon Hill/South Seattle,"9611 16th Ave SW Seattle, WA  98106",(206) 708-6080, info@whitecenterstudio.com,Lonjina Verdugo ,small,$$,intro,no,no,yes,no,yes,no,no,no,yes,yes,offer barre pilates and zumba
Core Power Yoga- Bellevue,http://www.corepoweryoga.com/yoga-studio/washington/seattle-bellevue,Bellevue,"10307 NE 10th St Bellevue, WA 98004",(425) 590-9113,not listed,not listed,large,not listed,Introductory,no,no,no,yes,yes,yes,no,no,no,no,
Shakti Vinyasa Yoga- Bellevue,,Bellevue,,425-646-9642 ,bellevue@shaktivinyasa.com,not listed,large,$$$,no,no,no,yes,yes,yes,no,no,no,no,no,Babtise power yoga
Seattle Yoga Arts,http://www.seattleyogaarts.com/,Capitol Hill,"1540 15th Avenue Seattle, Washington 98122",206.440.3191 ,Info@SeattleYogaArts.com,Denise Benitez,large,$$$,"Student, senior and introductory",no,no,yes,yes,no,no,no,yes,no,yes,
8 Limbs Yoga Center- Capitol Hill,http://www.8limbsyoga.com/yoga-classes.php?loc=capitol-hill,Capitol Hill,"500 East Pike Street, Seattle, WA 98122",206.325.1511,capitolhill@8limbsyoga.com,Anne Phyfe,large,$$,Introductory,sometimes,no,yes,yes,yes,no,no,yes,no,yes,
Sweatbox,http://sweatboxyoga.com/capitol-hill/,Capitol Hill,"1417 10th Ave, Ste B Seattle, WA 98122",206.860.9642,sweatboxyoga@yahoo.com,Frankie Grausam and Laura Culberg,large,$$$,Introductory,no,no,no,no,yes,yes,no,no,no,no,
The Grinning Yogi,http://www.thegrinningyogi.com/,Capitol Hill,"345 15th Ave. Suite 102, Seattle WA 98122",(206) 755-7611,info@thegrinningyogi.com,Jamie Silverstein,medium,$$,"Introductory, weekly pay what you can class",no,no,no,no,yes,no,no,no,no,no,"light, playful, lots of music, known for being authentic and welcoming"
Troy Lucero’s Acme Yoga Project,http://troylucero.com/,Capitol Hill,"915 E Pine St‎ Seattle, WA 98122",,troy@troylucero.com,Troy Lucero,small,$$,no ,no,no,no,no,no,no,no,no,no,no,independent study offered
Breath Hot Yoga- Capitol Hill,http://www.breathehotyoga.com/,Capitol Hill,"1818 E. Madison Seattle, WA 98122",206.708.7913,amber@breathehotyoga.com,Amber,medium,$$$,Introductory,no,no,no,no,yes,yes,no,no,no,no,hot vinyasa
Core Power Yoga- ,http://www.corepoweryoga.com/yoga-studio/washington/seattle-capitol-hill,Capitol Hill,"501 Broadway Avenue East Seattle, WA 98102",(206)709-9642,not listed,not listed,large,not listed,Introductory,no,no,no,yes,yes,yes,no,no,no,no,
lab fitness 5,http://www.lab5fitness.com/yoga/,Capitol Hill,"606 Broadway East Studio A Seattle, WA 98102",(206) 325-0662,info@lab5fitness.com,not listed,small,$$,intro and student,no,no,no,no,yes,no,no,no,no,no,"gym with many offerings, only 1 or 2 yoga classes per day"
The Samary Center,http://www.samaryacenter.org/,Central District,"1710 S. JACKSON ST. SUITE 201, SEATTLE, WA 98144",(206) 568-8335,info@samaryacenter.org,Molly Lannon Kenny,medium,$,Free kirtan and community classes,no,yes,yes,yes,yes,no,no,?,yes,yes,
Live Love Flow,http://www.liveloveflowyoga.com/,Central District,"1223 E. Cherry Street Seattle, WA 98122",206.322.FLOW (3569), info@mountainflowyoga.com,Jaime Scates Schmitz,medium,$$$,Student and introductory,yes,no,no,no,yes,yes,no,no,no,no,"""physical effort clears the clutter of habitual thought patterning and limited thinking"", yoga and spin studio"
The Yoga Den,http://www.theyogaden.com/,Central District,514 - 12th Ave. Suite B.,206.355.4774,John@TheYogaDen.com,John Heller,small,$$,Introductory and student,no,no,no,yes,no,no,no,no,no,no,"mens yoga, naked and clothed classes!"
Breath Hot Yoga- SLU,http://www.breathehotyoga.com/,Downtown," 2230 8th Ave. Seattle, WA 98121",206.682.2949,amber@breathehotyoga.com,Amber,medium ,$$$,Introductory,no,no,no,no,yes,yes,no,no,no,no,hot vinyasa
Urban Yoga Spa,http://www.urbanyogaspa.com/,Downtown,"4TH AVENUE & STEWART STREET 1900 4TH AVENUE SEATTLE, WA",206.420.0222,no listed,not listed,large,not listed,"Introductory, free community class and karma yogi",no,no,yes,yes,yes,yes,no,no,no,no,corporate/gym power studio
